番号,寺院名,住所,電話番号
79,天皇寺,香川県坂出市西庄町天皇1713-2,0877-46-3508
80,国分寺,香川県高松市国分寺町国分2065,087-874-0033
81,白峯寺,香川県坂出市青海町2635,0877-47-0305
82,根香寺,香川県高松市中山町1506,087-881-3329
83,一宮寺,香川県高松市一宮町607,087-885-2301
84,屋島寺,香川県高松市屋島東町1808,087-841-9418
85,八栗寺,香川県高松市牟礼町牟礼3416,087-845-9603
86,志度寺,香川県さぬき市志度1102,087-894-0086
87,長尾寺,香川県さぬき市長尾西653,0879-52-2041
88,大窪寺,香川県さぬき市多和兼割96,0879-56-2278
